Ticker,Date,Close,ChangePct,Market Cap,YTDpct,Beta,AnalystRating,RecentEarnings,UpcomingEarnings,Sector,FailReason
A,2025-09-26,123.39,1.23,34.98B,-7.52,1.05,,,,LABORATORY ANALYTICAL INSTRUMENTS,
AA,2025-09-26,32.71,4.01,8.47B,-13.9,1.83,,,,PRIMARY PRODUCTION OF ALUMINUM,
AACB,2025-09-26,10.18,0.3,281.73M,3.04,,,,,BLANK CHECKS,"Volume,MarketCap,Beta,StochRSI"
AACI,2025-09-26,10.4,0.65,328.54M,3.59,,,,,BLANK CHECKS,"Volume,MarketCap,Beta,StochRSI"
AACT,2025-09-24,9.49,6.87,,-13.49,0.0,,,,,"Volume,MarketCap,Beta,StochRSI"
AAL,2025-09-26,11.31,-0.7,7.46B,-33.47,1.39,,,,"AIR TRANSPORTATION, SCHEDULED",MA50x200
AAM,2025-09-25,10.52,0.0,462.61M,4.06,,,,,BLANK CHECKS,"Volume,MarketCap,Beta,StochRSI"
AAME,2025-09-26,2.9,0.35,59.15M,95.29,0.38,,,,LIFE INSURANCE,"Universe,Volume,MarketCap,Beta,YTD"
AAMI,2025-09-26,48.94,1.85,1.75B,89.76,,,,,INVESTMENT ADVICE,"Volume,MarketCap,Beta,YTD,StochRSI"
AAOI,2025-09-26,25.77,-2.16,1.61B,-27.61,2.97,,,,SEMICONDUCTORS & RELATED DEVICES,MarketCap
AAON,2025-09-26,91.01,3.27,7.42B,-22.83,1.38,,,,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,"Volume,StochRSI,MA50x200"
AAP,2025-09-26,61.0,1.96,3.66B,26.71,0.96,,,,RETAIL-AUTO & HOME SUPPLY STORES,"Beta,StochRSI"
AAPL,2025-09-26,255.46,-0.55,3.79T,4.76,1.17,,,,ELECTRONIC COMPUTERS,StochRSI
AARD,2025-09-26,13.23,4.42,287.00M,-7.55,,,,,PHARMACEUTICAL PREPARATIONS,"Volume,MarketCap,Beta,StochRSI,MA50x200"
AAT,2025-09-26,20.29,0.84,1.24B,-22.14,0.95,,,,REAL ESTATE INVESTMENT TRUSTS,"Volume,MarketCap,Beta,MA50x200"
AAUC,2025-09-26,17.06,1.01,1.97B,13.06,,,,,"Allied Gold Corp is a company focused on gold mining activities in Africa. Allied has three mines and several development and exploration projects in Africa where it has operating experience. Operations are located in Cote d'Ivoire, Mali, and Ethiopia. The company expands and optimizes initiatives at existing operating mines, the development of new mines, the advancement of its exploration properties, and, targeting other consolidation opportunities with a focus on Africa.","Volume,MarketCap,Beta,StochRSI"
AB,2025-09-26,37.9,-0.45,4.19B,2.27,0.96,,,,INVESTMENT ADVICE,"Volume,Beta,StochRSI"
ABAT,2025-09-26,4.38,0.92,517.05M,105.63,2.06,,,,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),"Universe,Volume,MarketCap,YTD,StochRSI"
ABBV,2025-09-26,220.61,0.95,389.72B,22.94,0.37,,,,PHARMACEUTICAL PREPARATIONS,Beta
ABCB,2025-09-26,74.86,0.12,5.13B,22.74,1.23,,,,STATE COMMERCIAL BANKS,Volume
ABCL,2025-09-26,4.74,1.94,1.42B,56.44,1.39,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,YTD,StochRSI"
ABEO,2025-09-26,5.44,1.49,278.96M,-7.95,0.82,,,,PHARMACEUTICAL PREPARATIONS,"Volume,MarketCap,Beta"
ABG,2025-09-26,239.0,1.14,4.70B,1.09,1.33,,,,RETAIL-AUTO DEALERS & GASOLINE STATIONS,"Volume,MA50x200"
